[2022-08-30T20:28:50.364] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-30T20:28:50.371] [WARN] warnArchive - Estado: 404, Ruta consultada: /socket.io/socket.io.js, Metodo GET
[2022-08-30T20:31:59.070] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-30T20:32:05.001] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-30T20:32:10.742] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-30T20:32:12.410] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-30T20:32:14.353] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-30T20:32:48.150] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/public/avatar/1661719606018-givi%20trekker%20dolomiti%2036%20lts.jpg, Metodo GET
[2022-08-30T20:32:52.970] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/public/avatar/1661719606018-givi%20trekker%20dolomiti%2036%20lts.jpg, Metodo GET
[2022-09-24T09:41:27.477] [WARN] warnArchive - Estado: 404, Ruta consultada: /socket.io/?EIO=4&transport=polling&t=ODlX4--, Metodo GET
[2022-09-24T09:41:29.770] [WARN] warnArchive - Estado: 404, Ruta consultada: /socket.io/?EIO=4&transport=polling&t=ODlX5z9, Metodo GET
[2022-09-24T09:57:25.995] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/public/avatar/1661719606018-givi%20trekker%20dolomiti%2036%20lts.jpg, Metodo GET
[2022-09-24T10:07:19.710] [WARN] warnArchive - Estado: 404, Ruta consultada: /logouthttp://localhost:8080/api/productos/test, Metodo GET
[2022-09-24T10:07:23.775] [WARN] warnArchive - Estado: 404, Ruta consultada: /logouthttp://localhost:8080/api/productos/test, Metodo GET
[2022-09-24T11:20:26.629] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:25:51.826] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:26:19.372] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:26:30.401] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:28:19.069] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:28:31.417] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:31:02.437] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:32:33.168] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:32:44.583] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:35:17.711] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:43:56.351] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T11:43:56.607] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T14:11:35.736] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T14:11:36.032] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:07:49.150] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:07:49.158] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T15:25:49.025] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T15:25:49.261] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:25:49.282] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:33:25.279] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T15:33:25.295] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:34:00.024] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T15:34:07.745] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T15:34:08.023] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:35:16.628] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/21212221122121, Metodo GET
[2022-09-24T15:35:17.047] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/212121212121, Metodo GET
[2022-09-24T15:35:17.066] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:48:04.042] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:48:04.060] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:48:21.434] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:48:21.453] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:49:13.276] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:49:13.298] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:49:18.753] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:49:18.771] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:49:31.962] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:49:31.980] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:56:21.536] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:56:21.785] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:57:54.754] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:57:54.763] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:58:28.082] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:58:28.107] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:59:23.664] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:59:23.710] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:59:42.554] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:59:42.561] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T15:59:58.301] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T15:59:58.314] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T16:00:07.497] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T16:00:07.505] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T16:00:16.747] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T16:00:16.753] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T16:00:29.510] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2022-09-24T16:00:29.516] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T16:00:37.461] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2022-09-24T16:00:37.477] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
